iter	Passed	Remaining
0	70	6990
1	85	4177
2	96	3113
3	107	2570
4	117	2227
5	127	1992
6	137	1824
7	147	1695
8	159	1607
9	170	1536
10	180	1461
11	191	1400
12	201	1349
13	212	1304
14	222	1259
15	232	1221
16	244	1194
17	255	1163
18	266	1134
19	276	1104
20	287	1080
21	296	1051
22	308	1032
23	320	1014
24	333	1000
25	343	977
26	353	956
27	363	935
28	374	917
29	385	898
30	395	879
31	408	867
32	417	848
33	428	832
34	438	813
35	449	799
36	461	785
37	472	770
38	483	756
39	493	740
40	506	728
41	516	713
42	529	701
43	540	687
44	551	673
45	561	659
46	572	645
47	583	632
48	593	617
49	605	605
50	614	590
51	625	577
52	635	563
53	645	550
54	656	537
55	668	524
56	678	511
57	688	498
58	698	485
59	708	472
60	719	459
61	729	447
62	739	434
63	750	422
64	761	410
65	771	397
66	782	385
67	792	372
68	802	360
69	814	349
70	824	336
71	835	324
72	846	313
73	857	301
74	872	290
75	883	278
76	894	267
77	905	255
78	918	244
79	933	233
80	943	221
81	954	209
82	965	197
83	975	185
84	985	173
85	996	162
86	1006	150
87	1016	138
88	1027	127
89	1037	115
90	1048	103
91	1059	92
92	1102	82
93	1111	70
94	1122	59
95	1132	47
96	1144	35
97	1156	23
98	1166	11
99	1177	0
